,minicluster_size,mpitype,runtime,analysis,ranks
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-10,5,ompi,1.3862738609313965,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-14,5,ompi,1.381998062133789,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-15,5,ompi,1.3991987705230713,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-17,5,ompi,1.389129638671875,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-16,5,ompi,1.4220142364501953,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-6,5,ompi,1.398383378982544,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-18,5,ompi,1.3825488090515137,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-8,5,ompi,1.404522180557251,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-3,5,ompi,1.3549623489379883,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-7,5,ompi,1.4021944999694824,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-11,5,ompi,1.3848044872283936,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-13,5,ompi,1.3870010375976562,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-5,5,ompi,1.3712563514709473,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-9,5,ompi,1.3887608051300049,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-1,5,ompi,1.379342794418335,hello_cxx-noaff,280
kubernetes-8/ompi/size_5_hello_cxx-noaff/mpis-5-hello_cxx-noaff-19,5,ompi,1.3943395614624023,hello_cxx-noaff,280
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-16,6,ompi,1.6691608428955078,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-13,6,ompi,1.5768601894378662,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-1,6,ompi,1.5756971836090088,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-15,6,ompi,1.6914012432098389,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-14,6,ompi,1.572312593460083,ring_usempi-noaff,336
